S 644314,4 hit 
S 644414,4 hit 
S 644514,4 hit 
L 605fa0,4 miss eviction 
L 605fa4,4 hit 
L 605fa8,4 hit 
L 605fac,4 hit 
S 644218,4 hit 
S 644318,4 hit 
S 644418,4 hit 
S 644518,4 hit 
L 6060a0,4 miss eviction 
L 6060a4,4 hit 
L 6060a8,4 hit 
L 6060ac,4 hit 
S 64421c,4 hit 
S 64431c,4 hit 
S 64441c,4 hit 
S 64451c,4 hit 
L 6061a0,4 miss eviction 
L 6061a4,4 hit 
L 6061a8,4 hit 
L 6061ac,4 hit 
S 644220,4 miss 
S 644320,4 miss 
S 644420,4 miss 
S 644520,4 miss 
L 6062a0,4 miss eviction 
L 6062a4,4 hit 
L 6062a8,4 hit 
L 6062ac,4 hit 
S 644224,4 hit 
S 644324,4 hit 
S 644424,4 hit 
S 644524,4 hit 
L 6063a0,4 miss eviction 
L 6063a4,4 hit 
L 6063a8,4 hit 
L 6063ac,4 hit 
S 644228,4 hit 
S 644328,4 hit 
S 644428,4 hit 
S 644528,4 hit 
L 6064a0,4 miss eviction 
L 6064a4,4 hit 
L 6064a8,4 hit 
L 6064ac,4 hit 
S 64422c,4 hit 
S 64432c,4 hit 
S 64442c,4 hit 
S 64452c,4 hit 
L 6065a0,4 miss eviction 
L 6065a4,4 hit 
L 6065a8,4 hit 
L 6065ac,4 hit 
S 644230,4 hit 
S 644330,4 hit 
S 644430,4 hit 
S 644530,4 hit 
L 6066a0,4 miss eviction 
L 6066a4,4 hit 
L 6066a8,4 hit 
L 6066ac,4 hit 
S 644234,4 hit 
S 644334,4 hit 
S 644434,4 hit 
S 644534,4 hit 
L 6067a0,4 miss eviction 
L 6067a4,4 hit 
L 6067a8,4 hit 
L 6067ac,4 hit 
S 644238,4 hit 
S 644338,4 hit 
S 644438,4 hit 
S 644538,4 hit 
L 6068a0,4 miss eviction 
L 6068a4,4 hit 
L 6068a8,4 hit 
L 6068ac,4 hit 
S 64423c,4 hit 
S 64433c,4 hit 
S 64443c,4 hit 
S 64453c,4 hit 
L 6069a0,4 miss eviction 
L 6069a4,4 hit 
L 6069a8,4 hit 
L 6069ac,4 hit 
S 644240,4 miss 
S 644340,4 miss 
S 644440,4 miss 
S 644540,4 miss 
L 606aa0,4 miss eviction 
L 606aa4,4 hit 
L 606aa8,4 hit 
L 606aac,4 hit 
S 644244,4 hit 
S 644344,4 hit 
S 644444,4 hit 
S 644544,4 hit 
L 606ba0,4 miss eviction 
L 606ba4,4 hit 
L 606ba8,4 hit 
L 606bac,4 hit 
S 644248,4 hit 
S 644348,4 hit 
S 644448,4 hit 
S 644548,4 hit 
L 606ca0,4 miss eviction 
L 606ca4,4 hit 
L 606ca8,4 hit 
L 606cac,4 hit 
S 64424c,4 hit 
S 64434c,4 hit 
S 64444c,4 hit 
S 64454c,4 hit 
L 606da0,4 miss eviction 
L 606da4,4 hit 
L 606da8,4 hit 
L 606dac,4 hit 
S 644250,4 hit 
S 644350,4 hit 
S 644450,4 hit 
S 644550,4 hit 
L 606ea0,4 miss eviction 
L 606ea4,4 hit 
L 606ea8,4 hit 
L 606eac,4 hit 
S 644254,4 hit 
S 644354,4 hit 
S 644454,4 hit 
S 644554,4 hit 
L 606fa0,4 miss eviction 
L 606fa4,4 hit 
L 606fa8,4 hit 
L 606fac,4 hit 
S 644258,4 hit 
S 644358,4 hit 
S 644458,4 hit 
S 644558,4 hit 
L 6070a0,4 miss eviction 
L 6070a4,4 hit 
L 6070a8,4 hit 
L 6070ac,4 hit 
S 64425c,4 hit 
S 64435c,4 hit 
S 64445c,4 hit 
S 64455c,4 hit 
L 6071a0,4 miss eviction 
L 6071a4,4 hit 
L 6071a8,4 hit 
L 6071ac,4 hit 
S 644260,4 miss 
S 644360,4 miss 
S 644460,4 miss 
S 644560,4 miss 
L 6072a0,4 miss eviction 
L 6072a4,4 hit 
L 6072a8,4 hit 
L 6072ac,4 hit 
S 644264,4 hit 
S 644364,4 hit 
S 644464,4 hit 
S 644564,4 hit 
L 6073a0,4 miss eviction 
L 6073a4,4 hit 
L 6073a8,4 hit 
L 6073ac,4 hit 
S 644268,4 hit 
S 644368,4 hit 
S 644468,4 hit 
S 644568,4 hit 
L 6074a0,4 miss eviction 
L 6074a4,4 hit 
L 6074a8,4 hit 
L 6074ac,4 hit 
S 64426c,4 hit 
S 64436c,4 hit 
S 64446c,4 hit 
S 64456c,4 hit 
L 6075a0,4 miss eviction 
L 6075a4,4 hit 
L 6075a8,4 hit 
L 6075ac,4 hit 
S 644270,4 hit 
S 644370,4 hit 
S 644470,4 hit 
S 644570,4 hit 
L 6076a0,4 miss eviction 
L 6076a4,4 hit 
L 6076a8,4 hit 
L 6076ac,4 hit 
S 644274,4 hit 
S 644374,4 hit 
S 644474,4 hit 
S 644574,4 hit 
L 6077a0,4 miss eviction 
L 6077a4,4 hit 
L 6077a8,4 hit 
L 6077ac,4 hit 
S 644278,4 hit 
S 644378,4 hit 
S 644478,4 hit 
S 644578,4 hit 
L 6078a0,4 miss eviction 
L 6078a4,4 hit 
L 6078a8,4 hit 
L 6078ac,4 hit 
S 64427c,4 hit 
S 64437c,4 hit 
S 64447c,4 hit 
S 64457c,4 hit 
L 6079a0,4 miss eviction 
L 6079a4,4 hit 
L 6079a8,4 hit 
L 6079ac,4 hit 
S 644280,4 miss 
S 644380,4 miss 
S 644480,4 miss 
S 644580,4 miss 
L 607aa0,4 miss eviction 
L 607aa4,4 hit 
L 607aa8,4 hit 
L 607aac,4 hit 
S 644284,4 hit 
S 644384,4 hit 
S 644484,4 hit 
S 644584,4 hit 
L 607ba0,4 miss eviction 
L 607ba4,4 hit 
L 607ba8,4 hit 
L 607bac,4 hit 
S 644288,4 hit 
S 644388,4 hit 
S 644488,4 hit 
S 644588,4 hit 
L 607ca0,4 miss eviction 
L 607ca4,4 hit 
L 607ca8,4 hit 
L 607cac,4 hit 
S 64428c,4 hit 
S 64438c,4 hit 
S 64448c,4 hit 
S 64458c,4 hit 
L 607da0,4 miss eviction 
L 607da4,4 hit 
L 607da8,4 hit 
L 607dac,4 hit 
S 644290,4 hit 
S 644390,4 hit 
S 644490,4 hit 
S 644590,4 hit 
L 607ea0,4 miss eviction 
L 607ea4,4 hit 
L 607ea8,4 hit 
L 607eac,4 hit 
S 644294,4 hit 
S 644394,4 hit 
S 644494,4 hit 
S 644594,4 hit 
L 607fa0,4 miss eviction 
L 607fa4,4 hit 
L 607fa8,4 hit 
L 607fac,4 hit 
